OMA05434__CCIN|CC1G_03368
OMA00184__SCER|YNR031C
OMA01605__ANID|AN2080
OMA02697__MUCC1|S2JSN6
OMA05801__Rhior3|RO3G_03330
OMA01459__LEPMJ|E5A797
OMA00243__PGRA|PGTG_10372
OMA00326__SCER|YLR419W
OMA05059__LEPMJ|E5A6B8
OMA00525__NCRA|NCU04104
OMA03137__MYCGM|F9X9P9
OMA00413__ARTOA|G1XH34
OMA00179__Batde5|estExt_Genewise1Plus.C_160186
OMA10254__ANID|AN0785
OMA01281__MALGO|A8Q0K0
OMA02416__ANID|AN10019
OMA00039__CCIN|CC1G_04618
OMA00705__LEPMJ|E5A769
OMA01073__DEBHA|Q6BLT2
OMA01496__BAUCO|M2LNX3
OMA01078__NCRA|NCU09443
OMA01182__BAUCO|M2MW42
OMA00567__MUCC1|S2J5A4
OMA03730__PGRA|PGTG_17218
OMA00370__Batde5|estExt_Genewise1.C_130116
OMA01981__ANID|AN9406
OMA00678__DEBHA|Q6BXY5
OMA02350__CCIN|CC1G_06462
OMA02950__ANID|AN0893
OMA04708__ARTOA|G1XE09
OMA00419__Batde5|fgenesh1_pm.C_scaffold_5000013
OMA06560__Rhior3|RO3G_08523
OMA06521__Batde5|e_gw1.7.239.1
OMA00388__LACBI|B0CWU6
OMA02942__Batde5|estExt_Genewise1Plus.C_160163
OMA01302__DEBHA|B5RSU6
OMA07402__MALGO|A8QC73
OMA08830__MUCC1|S2JKV5
OMA00280__NCRA|NCU01965
OMA02819__UMAY|um02500
OMA02407__MALGO|A8QAR9
OMA00478__MALGO|A8PSV5
OMA00412__DEBHA|Q6BIS6
OMA06835__MUCC1|S2JQ49
OMA01921__CCIN|CC1G_03774
OMA11412__Batde5|GP3.017340
OMA03772__BAUCO|M2N842
OMA00836__CCIN|CC1G_01317
OMA06525__MUCC1|S2JWQ1
OMA01032__Batde5|estExt_fgenesh1_pg.C_20440
OMA08802__PGRA|PGTG_09630
OMA06200__DEBHA|Q6BGY4
OMA02646__MYCGM|F9XEK6
OMA00112__Batde5|estExt_Genewise1.C_90330
OMA02461__Batde5|GP3.041180
OMA00933__BAUCO|M2LQE5
OMA01915__MYCGM|F9XC37
OMA08503__MACPH|K2SWB1
OMA01330__BAUCO|M2MC90
OMA01290__Batde5|estExt_fgenesh1_pg.C_30229
OMA00540__MALGO|A8QDW4
OMA00571__NCRA|NCU08303
OMA00798__LEPMJ|E5AA19
OMA12606__MALGO|A8PUM3
OMA02395__Batde5|e_gw1.2.115.1
OMA06686__CCIN|CC1G_10712
OMA02446__NIRR|NEOLI_000362T0
OMA00167__BAUCO|M2MQK3
OMA00367__MALGO|A8QA65
OMA04495__LACBI|B0DXH4
OMA07543__BAUCO|M2MYM7
OMA02776__CCIN|CC1G_13652
OMA02792__ANID|AN4414
OMA01488__SCER|YJL101C
OMA00742__MALGO|A8Q670
OMA00362__DEBHA|Q6BL88
OMA00423__Batde5|fgenesh1_pg.C_scaffold_3000225
OMA02619__SPOM|SPBC119.13c
OMA00292__CCIN|CC1G_08126
OMA02412__DEBHA|Q6BRU6
OMA01639__MALGO|A8Q8S9
OMA00723__DEBHA|Q6BNL4
OMA09586__Batde5|e_gw1.1.973.1
OMA08074__Batde5|GP3.041010
OMA03659__DEBHA|Q6BMD5
OMA06910__CCIN|CC1G_07650
OMA00970__CCIN|CC1G_00857
OMA02287__MALGO|A8PX47
OMA00864__LACBI|B0D6Z9
OMA02518__ANID|AN1017
OMA06630__Batde5|e_gw1.6.350.1
OMA02553__PGRA|PGTG_00016
OMA09400__DEBHA|Q6BNR3
OMA00658__Batde5|fgenesh1_pg.C_scaffold_3000426
OMA04443__Batde5|estExt_Genewise1Plus.C_30272
OMA06467__PCON|PCON_08282
OMA05468__LACBI|B0DHF2
OMA06237__MALGO|A8QAE6
OMA01161__Batde5|estExt_fgenesh1_pg.C_20573
OMA02245__ANID|AN4279
OMA10795__Batde5|GP3.063960
OMA08173__LEPMJ|E5A5T2
OMA05599__NCRA|NCU00981
OMA00446__MALGO|A8Q8F0
OMA00776__CCIN|CC1G_09941
OMA00584__MALGO|A8Q6E4
OMA08116__Batde5|estExt_Genewise1.C_110035
OMA02226__MYCGM|F9X2L4
OMA02605__MALGO|A8PSR0
OMA00622__NCRA|NCU04280
OMA00743__ANID|AN3363
OMA11965__NCRA|NCU07264
OMA00669__Batde5|e_gw1.11.20.1
OMA02334__PGRA|PGTG_02068
OMA08845__BAUCO|M2NC05
OMA05974__LACBI|B0DK20
OMA02106__NCRA|NCU03137
OMA06010__NCRA|NCU02533
OMA01016__Batde5|estExt_Genewise1.C_170075
OMA05105__Batde5|GP3.072130
OMA01043__BAUCO|M2M4T2
OMA04166__MALGO|A8PR87
OMA08859__BAUCO|M2M1Z6
OMA07856__SCER|YJL102W
OMA05188__CCIN|CC1G_03433
OMA00188__Batde5|estExt_Genewise1.C_60018
OMA16269__Rhior3|RO3G_08123
OMA00205__MALGO|A8QD07
OMA00381__ANID|AN1956
OMA03554__Rhior3|RO3G_16282
OMA01141__Sclsc1|SS1G_14456T0
OMA01115__MALGO|A8Q534
OMA09954__MYCGM|F9XCB2
OMA06610__ANID|AN2943
OMA05337__PGRA|PGTG_06559
OMA05107__DEBHA|Q6BHW6
OMA00182__CCIN|CC1G_13640
OMA08593__Batde5|estExt_Genewise1Plus.C_70348
OMA09403__SCER|YCR027C
OMA01294__PGRA|PGTG_09014
OMA03197__Batde5|fgenesh1_pg.C_scaffold_9000269
OMA00573__MALGO|A8Q0R8
OMA02075__LEPMJ|E4ZIJ7
OMA02785__ANID|AN7537
