OMA00007__SCER|YHR165C
OMA00011__PGRA|PGTG_03326
OMA00023__LEPMJ|E4ZPX7
OMA00024__Batde5|GP3.022680
OMA00033__PGRA|PGTG_03145
OMA00035__Batde5|estExt_Genewise1Plus.C_70302
OMA00039__CCIN|CC1G_04618
OMA00040__NIRR|NEOLI_001874T0
OMA00045__Batde5|estExt_fgenesh1_pg.C_80251
OMA00047__CCIN|CC1G_13926
OMA00051__MYCGM|F9X8Y2
OMA00055__Batde5|estExt_Genewise1Plus.C_100297
OMA00063__MALGO|A8QCB2
OMA00064__ARTOA|G1XUL0
OMA00066__NCRA|NCU02669
OMA00077__Batde5|e_gw1.18.3.1
OMA00094__MALGO|A8PTA5
OMA00096__Batde5|e_gw1.1.14.1
OMA00100__LACBI|B0CY06
OMA00103__DEBHA|B5RUX1
OMA00109__ANID|AN3933
OMA00112__Batde5|estExt_Genewise1.C_90330
OMA00116__MYCGM|F9XIK2
OMA00117__BAUCO|M2MZU1
OMA00119__CCIN|CC1G_00662
OMA00131__DEBHA|Q6BXI9
OMA00138__PGRA|PGTG_00428
OMA00143__DEBHA|Q6BSW2
OMA00147__MUCC1|S2IZU9
OMA00149__MACPH|K2S2F6
OMA00150__CCIN|CC1G_01918
OMA00154__MALGO|A8PWC4
OMA00156__MALGO|A8PVG7
OMA00157__MALGO|A8Q026
OMA00165__DEBHA|Q6BLQ9
OMA00167__BAUCO|M2MQK3
OMA00169__Rhior3|RO3G_15726
OMA00170__NIRR|NEOLI_001027T0
OMA00176__DEBHA|B5RTZ7
OMA00179__Batde5|estExt_Genewise1Plus.C_160186
OMA00182__CCIN|CC1G_13640
OMA00184__SCER|YNR031C
OMA00188__Batde5|estExt_Genewise1.C_60018
OMA00197__DEBHA|B5RSV9
OMA00198__Batde5|e_gw1.10.13.1
OMA00205__MALGO|A8QD07
OMA00213__BAUCO|M2NNI7
OMA00217__MUCC1|S2JGK9
OMA00226__MALGO|A8PZG0
OMA00229__MUCC1|S2JN04
OMA00231__DEBHA|Q6BMN9
OMA00237__SCER|YLR272C
OMA00238__DEBHA|Q6BJ38
OMA00243__PGRA|PGTG_10372
OMA00247__ARTOA|G1XUI1
OMA00254__SCER|YOR304W
OMA00255__NCRA|NCU05650
OMA00256__DEBHA|Q6BL12
OMA00259__MALGO|A8PX79
OMA00266__Batde5|estExt_Genewise1Plus.C_100059
OMA00267__LEPMJ|E5R531
OMA00268__DEBHA|Q6BM56
OMA00269__DEBHA|Q6BJX4
OMA00270__DEBHA|B5RSW3
OMA00277__ARTOA|G1XB03
OMA00280__NCRA|NCU01965
OMA00286__CCIN|CC1G_00351
OMA00288__Batde5|fgenesh1_pm.C_scaffold_5000039
OMA00291__DEBHA|B5RT10
OMA00292__CCIN|CC1G_08126
OMA00294__BAUCO|M2MQD5
OMA00299__ANID|AN0225
OMA00300__Rhior3|RO3G_04732
OMA00301__MALGO|A8Q2N9
OMA00302__DEBHA|Q6BKJ4
OMA00313__CCIN|CC1G_02944
OMA00317__ARTOA|G1XK58
OMA00321__MUCC1|S2J7A6
OMA00322__Batde5|GP3.016480
OMA00324__ANID|AN1700
OMA00325__CCIN|CC1G_05680
OMA00326__SCER|YLR419W
OMA00327__LACBI|B0DAQ6
OMA00330__LEPMJ|E5AFG2
OMA00333__Batde5|estExt_fgenesh1_pg.C_10382
OMA00338__Rhior3|RO3G_11513
OMA00341__MUCC1|S2IZS2
OMA00353__PGRA|PGTG_21774
OMA00361__DEBHA|B5RTC3
OMA00362__DEBHA|Q6BL88
OMA00367__MALGO|A8QA65
OMA00370__Batde5|estExt_Genewise1.C_130116
OMA00375__BAUCO|M2M0L1
OMA00376__ARTOA|G1XLT1
OMA00377__Batde5|estExt_Genewise1Plus.C_10101
OMA00381__ANID|AN1956
OMA00383__ARTOA|G1XTP7
OMA00385__ARTOA|G1XUB8
OMA00386__Batde5|estExt_Genewise1.C_160076
OMA00387__Batde5|estExt_fgenesh1_pm.C_10200
OMA00388__LACBI|B0CWU6
OMA00390__ANID|AN2491
OMA00394__Batde5|fgenesh1_kg.C_scaffold_3000115
OMA00397__PGRA|PGTG_04266
OMA00398__CCIN|CC1G_13717
OMA00412__DEBHA|Q6BIS6
OMA00413__ARTOA|G1XH34
OMA00418__SPOM|SPAC13G6.01c
OMA00419__Batde5|fgenesh1_pm.C_scaffold_5000013
OMA00423__Batde5|fgenesh1_pg.C_scaffold_3000225
OMA00426__Batde5|estExt_Genewise1Plus.C_90139
OMA00433__Batde5|estExt_fgenesh1_pg.C_100062
OMA00435__MUCC1|S2K1T9
OMA00438__DEBHA|Q6BWU5
OMA00446__MALGO|A8Q8F0
OMA00447__BAUCO|M2NB01
OMA00448__Batde5|e_gw1.7.23.1
OMA00460__MALGO|A8PXK6
OMA00478__MALGO|A8PSV5
OMA00481__CCIN|CC1G_01688
OMA00484__ARTOA|G1XJD4
OMA00486__LEPMJ|E5A885
OMA00491__CCIN|CC1G_09266
OMA00497__DEBHA|Q6BYI2
OMA00502__DEBHA|Q6BPD3
OMA00509__DEBHA|B5RSW8
OMA00512__SCER|YOR168W
OMA00516__PCON|PCON_05926
OMA00522__Batde5|fgenesh1_pm.C_scaffold_20000003
OMA00525__NCRA|NCU04104
OMA00529__MUCC1|S2K8A3
OMA00534__MALGO|A8Q539
OMA00536__Batde5|e_gw1.4.70.1
OMA00538__DEBHA|Q6BQ23
OMA00540__MALGO|A8QDW4
OMA00542__NCRA|NCU00579
OMA00551__CCIN|CC1G_05319
OMA00556__SPOM|SPBC12C2.10c
OMA00561__NCRA|NCU03592
OMA00566__PGRA|PGTG_15310
OMA00567__MUCC1|S2J5A4
OMA00571__NCRA|NCU08303
OMA00573__MALGO|A8Q0R8
OMA00574__MYCGM|F9X753
OMA00579__SCER|YBR229C
OMA00583__Batde5|estExt_fgenesh1_kg.C_50020
OMA00584__MALGO|A8Q6E4
OMA00588__DEBHA|Q6BY55
OMA00597__DEBHA|Q6BL34
OMA00602__NCRA|NCU01255
OMA00604__CCIN|CC1G_06894
OMA00608__SCER|YFR009W
OMA00610__MALGO|A8Q968
OMA00613__Sclsc1|SS1G_00134T0
OMA00618__ANID|AN12473
OMA00622__NCRA|NCU04280
OMA00632__MUCC1|S2J1U0
OMA00633__MYCGM|F9WYR8
