Species	index	cegma	busco	fgmp_fUCEs_est	fgmp_Protein_est	numSeqs	totalLength	maxLength	n50	n90	gcPercent	numNs
Saccharomyces_cerevisiae_S288C.vR64-2-1	G.4	100	99.4	86.6	93.3	17	12157105	1531933	924431	439888	38.1	0
Schizosaccharomyces_octosporus_yFS286	G.47	100	93.1	88.4	95.1	4	11631856	4622725	3863862	3105948	37.5	371492
Mucor_circinelloides_CBS277.49.Mucci2.v2	G.84	100	95	94.2	94.3	26	36587022	6050249	4318338	1074709	42.2	0
Zygosaccharomyces_rouxii_CBS_732	G.106	100	99.8	87.8	94.6	7	9764635	1865392	1496342	1114666	39.1	1269
Kazachstania_africana_CBS_2517	G.124	100	98.8	80.2	91.9	12	11130140	1757399	1026673	578118	36.3	3250
Zasmidium_cellare_ATCC_36951.Zasce1.v1	G.166	100	99.8	97.1	100	267	38247703	2323717	675253	175257	53.4	49139
Cyberlindnera_jadinii_NRRL_Y-1542.Cybja1.v1	G.191	100	99.4	92.4	96.8	76	13018415	1920980	700888	147686	44.5	261394
Torulaspora_delbrueckii_CBS_1146	G.258	100	99.5	88.4	93.8	8	9220678	1418021	1218070	946563	42	2177
Blastobotrys_adeninivorans_LS3.Arxad1	G.330	100	99.1	94.8	95.3	4	11804616	4300524	3827910	1659397	48.1	1748
Xylona_heveae_TC161.Xylhe1.v1	G.41	99.8	99.6	95.9	97.1	27	24337763	3318606	1905886	777089	48.1	19543
Trypethelium_eluteriae.Tryvi1.v1	G.49	99.8	99	98.8	99.8	730	32160005	1027589	324419	56428	48.9	6210
Aplosporella_prunicola_CBS_121.167.Aplpr1.v1	G.91	99.8	99.8	96.5	98.8	334	32818685	1596707	957837	69981	54.3	350262
Nakaseomyces_delphensis_CBS_2170	G.118	99.8	98.8	86	94.3	30	10969104	1336565	1014225	382399	38.9	96999
Rhizopus_delemar_RA_99-880	G.119	99.8	92	94.2	94.6	81	46087117	5735491	3104119	783160	35.6	824640
Nakaseomyces_bacillisporus_CBS_7720	G.122	99.8	98.7	85.5	95.3	37	11106681	1222136	811560	301692	36.6	264472
Xanthoria_parietina_46-1.Xanpa2.v1.1	G.130	99.8	98.7	96.5	97	39	31900637	3929677	1731186	883276	49.9	100823
Chalara_longipes_BDJ.Chalo1.v1	G.131	99.8	99.5	96.5	98.3	54	52432785	3386232	2686473	2068909	47.5	149416
Glarea_lozoyensis_74030	G.174	99.8	99.5	97.7	98.5	22	39509734	3594336	2105285	1378442	45.8	341107
Monascus_ruber_NRRL_1597.Monru1.v1	G.199	99.8	99.6	96.5	99.3	320	24798814	498644	153832	43087	48.9	7721
Meliniomyces_variabilis_F.Melva1.v1	G.225	99.8	99.5	98.8	98	93	55857776	2899349	2140165	592683	47.6	74189
Stagonospora_nodorum_SN15.Stano2.v2	G.232	99.8	99.4	97.1	97	108	37213987	2531949	1045363	320110	50.4	164388
Hysterium_pulicare_CBS_123377.Hyspu1_1	G.233	99.8	99.1	98.8	99	586	38427427	910069	240709	57510	48.8	139639
